config_id,split,path,n_cells,is_perturbation,perturbation_type
base_000000,train,train/base_000000.npz,173,False,
base_000001,train,train/base_000001.npz,45,False,
base_000002,train,train/base_000002.npz,262,False,
base_000003,train,train/base_000003.npz,177,False,
base_000004,train,train/base_000004.npz,359,False,
base_000005,train,train/base_000005.npz,41,False,
base_000006,train,train/base_000006.npz,416,False,
base_000007,train,train/base_000007.npz,216,False,
base_000008,train,train/base_000008.npz,332,False,
base_000009,train,train/base_000009.npz,64,False,
base_000010,train,train/base_000010.npz,63,False,
base_000011,train,train/base_000011.npz,45,False,
base_000012,train,train/base_000012.npz,41,False,
base_000013,train,train/base_000013.npz,260,False,
base_000014,train,train/base_000014.npz,45,False,
base_000015,train,train/base_000015.npz,433,False,
base_000016,train,train/base_000016.npz,85,False,
base_000017,train,train/base_000017.npz,40,False,
base_000018,train,train/base_000018.npz,64,False,
base_000019,train,train/base_000019.npz,183,False,
base_000020,train,train/base_000020.npz,183,False,
base_000021,train,train/base_000021.npz,216,False,
base_000022,train,train/base_000022.npz,357,False,
base_000023,train,train/base_000023.npz,255,False,
base_000024,train,train/base_000024.npz,366,False,
base_000025,train,train/base_000025.npz,116,False,
base_000026,train,train/base_000026.npz,63,False,
base_000027,train,train/base_000027.npz,138,False,
base_000028,train,train/base_000028.npz,477,False,
base_000029,train,train/base_000029.npz,193,False,
base_000030,train,train/base_000030.npz,418,False,
base_000031,train,train/base_000031.npz,63,False,
base_000032,train,train/base_000032.npz,359,False,
base_000033,train,train/base_000033.npz,367,False,
base_000034,train,train/base_000034.npz,63,False,
base_000035,train,train/base_000035.npz,232,False,
base_000036,train,train/base_000036.npz,461,False,
base_000037,train,train/base_000037.npz,68,False,
base_000038,train,train/base_000038.npz,332,False,
base_000039,train,train/base_000039.npz,261,False,
base_000040,train,train/base_000040.npz,216,False,
base_000041,train,train/base_000041.npz,64,False,
base_000042,train,train/base_000042.npz,150,False,
base_000043,train,train/base_000043.npz,367,False,
base_000044,train,train/base_000044.npz,40,False,
base_000045,train,train/base_000045.npz,182,False,
base_000046,train,train/base_000046.npz,320,False,
base_000047,train,train/base_000047.npz,59,False,
base_000048,train,train/base_000048.npz,138,False,
base_000049,train,train/base_000049.npz,41,False,
base_000050,train,train/base_000050.npz,216,False,
base_000051,train,train/base_000051.npz,118,False,
base_000052,train,train/base_000052.npz,471,False,
base_000053,train,train/base_000053.npz,160,False,
base_000054,train,train/base_000054.npz,174,False,
base_000055,train,train/base_000055.npz,41,False,
base_000056,train,train/base_000056.npz,180,False,
base_000057,train,train/base_000057.npz,85,False,
base_000058,train,train/base_000058.npz,232,False,
base_000059,train,train/base_000059.npz,232,False,
base_000060,train,train/base_000060.npz,63,False,
base_000061,train,train/base_000061.npz,304,False,
base_000062,train,train/base_000062.npz,366,False,
base_000063,train,train/base_000063.npz,232,False,
base_000064,train,train/base_000064.npz,232,False,
base_000065,train,train/base_000065.npz,366,False,
base_000066,train,train/base_000066.npz,149,False,
base_000067,train,train/base_000067.npz,116,False,
base_000068,train,train/base_000068.npz,216,False,
base_000069,train,train/base_000069.npz,150,False,
base_000070,train,train/base_000070.npz,41,False,
base_000071,train,train/base_000071.npz,174,False,
base_000072,train,train/base_000072.npz,109,False,
base_000073,train,train/base_000073.npz,45,False,
base_000074,train,train/base_000074.npz,59,False,
base_000075,train,train/base_000075.npz,120,False,
base_000076,train,train/base_000076.npz,45,False,
base_000077,train,train/base_000077.npz,415,False,
base_000078,train,train/base_000078.npz,262,False,
base_000079,train,train/base_000079.npz,232,False,
base_000080,train,train/base_000080.npz,92,False,
base_000081,train,train/base_000081.npz,121,False,
base_000082,train,train/base_000082.npz,255,False,
base_000083,train,train/base_000083.npz,150,False,
base_000084,train,train/base_000084.npz,304,False,
base_000085,train,train/base_000085.npz,92,False,
base_000086,train,train/base_000086.npz,359,False,
base_000087,train,train/base_000087.npz,60,False,
base_000088,train,train/base_000088.npz,304,False,
base_000089,train,train/base_000089.npz,262,False,
base_000090,train,train/base_000090.npz,138,False,
base_000091,train,train/base_000091.npz,121,False,
base_000092,train,train/base_000092.npz,60,False,
base_000093,train,train/base_000093.npz,64,False,
base_000094,train,train/base_000094.npz,490,False,
base_000095,train,train/base_000095.npz,64,False,
base_000096,train,train/base_000096.npz,177,False,
base_000097,train,train/base_000097.npz,85,False,
base_000098,train,train/base_000098.npz,85,False,
base_000099,train,train/base_000099.npz,68,False,
base_000100,train,train/base_000100.npz,118,False,
base_000101,train,train/base_000101.npz,116,False,
base_000102,train,train/base_000102.npz,41,False,
base_000103,train,train/base_000103.npz,318,False,
base_000104,train,train/base_000104.npz,262,False,
base_000105,train,train/base_000105.npz,173,False,
base_000106,train,train/base_000106.npz,121,False,
base_000107,train,train/base_000107.npz,359,False,
base_000108,train,train/base_000108.npz,421,False,
base_000109,train,train/base_000109.npz,85,False,
base_000110,train,train/base_000110.npz,366,False,
base_000111,train,train/base_000111.npz,138,False,
base_000112,train,train/base_000112.npz,92,False,
base_000113,train,train/base_000113.npz,474,False,
base_000114,train,train/base_000114.npz,232,False,
base_000115,train,train/base_000115.npz,367,False,
base_000116,train,train/base_000116.npz,232,False,
base_000117,train,train/base_000117.npz,120,False,
base_000118,train,train/base_000118.npz,320,False,
base_000119,train,train/base_000119.npz,182,False,
base_000120,train,train/base_000120.npz,63,False,
base_000121,train,train/base_000121.npz,149,False,
base_000122,train,train/base_000122.npz,45,False,
base_000123,train,train/base_000123.npz,320,False,
base_000124,train,train/base_000124.npz,85,False,
base_000125,train,train/base_000125.npz,173,False,
base_000126,train,train/base_000126.npz,216,False,
base_000127,train,train/base_000127.npz,232,False,
base_000128,train,train/base_000128.npz,40,False,
base_000129,train,train/base_000129.npz,175,False,
base_000130,train,train/base_000130.npz,91,False,
base_000131,train,train/base_000131.npz,276,False,
base_000132,train,train/base_000132.npz,64,False,
base_000133,train,train/base_000133.npz,149,False,
base_000134,train,train/base_000134.npz,366,False,
base_000135,train,train/base_000135.npz,116,False,
base_000136,train,train/base_000136.npz,149,False,
base_000137,train,train/base_000137.npz,461,False,
base_000138,train,train/base_000138.npz,45,False,
base_000139,train,train/base_000139.npz,118,False,
base_000140,train,train/base_000140.npz,216,False,
base_000141,train,train/base_000141.npz,64,False,
base_000142,train,train/base_000142.npz,120,False,
base_000143,train,train/base_000143.npz,182,False,
base_000144,train,train/base_000144.npz,120,False,
base_000145,train,train/base_000145.npz,64,False,
base_000146,train,train/base_000146.npz,59,False,
base_000147,train,train/base_000147.npz,91,False,
base_000148,train,train/base_000148.npz,91,False,
base_000149,train,train/base_000149.npz,255,False,
base_000150,train,train/base_000150.npz,181,False,
base_000151,train,train/base_000151.npz,180,False,
base_000152,train,train/base_000152.npz,260,False,
base_000153,train,train/base_000153.npz,85,False,
base_000154,train,train/base_000154.npz,255,False,
base_000155,train,train/base_000155.npz,85,False,
base_000156,train,train/base_000156.npz,63,False,
base_000157,train,train/base_000157.npz,138,False,
base_000158,train,train/base_000158.npz,304,False,
base_000159,train,train/base_000159.npz,60,False,
base_000160,train,train/base_000160.npz,118,False,
base_000161,train,train/base_000161.npz,63,False,
base_000162,train,train/base_000162.npz,183,False,
base_000163,train,train/base_000163.npz,116,False,
base_000164,train,train/base_000164.npz,366,False,
base_000165,train,train/base_000165.npz,183,False,
base_000166,train,train/base_000166.npz,149,False,
base_000167,train,train/base_000167.npz,158,False,
base_000168,train,train/base_000168.npz,40,False,
base_000169,train,train/base_000169.npz,91,False,
base_000170,train,train/base_000170.npz,60,False,
base_000171,train,train/base_000171.npz,85,False,
base_000172,train,train/base_000172.npz,432,False,
base_000173,train,train/base_000173.npz,91,False,
base_000174,train,train/base_000174.npz,304,False,
base_000175,train,train/base_000175.npz,232,False,
base_000176,train,train/base_000176.npz,259,False,
base_000177,train,train/base_000177.npz,175,False,
base_000178,train,train/base_000178.npz,216,False,
base_000179,train,train/base_000179.npz,255,False,
base_000180,train,train/base_000180.npz,92,False,
base_000181,train,train/base_000181.npz,64,False,
base_000182,train,train/base_000182.npz,40,False,
base_000183,train,train/base_000183.npz,216,False,
base_000184,train,train/base_000184.npz,118,False,
base_000185,train,train/base_000185.npz,45,False,
base_000186,train,train/base_000186.npz,368,False,
base_000187,train,train/base_000187.npz,63,False,
base_000188,train,train/base_000188.npz,304,False,
base_000189,train,train/base_000189.npz,216,False,
base_000190,train,train/base_000190.npz,216,False,
base_000191,train,train/base_000191.npz,41,False,
base_000192,train,train/base_000192.npz,116,False,
base_000193,train,train/base_000193.npz,275,False,
base_000194,train,train/base_000194.npz,320,False,
base_000195,train,train/base_000195.npz,40,False,
base_000196,train,train/base_000196.npz,175,False,
base_000197,train,train/base_000197.npz,121,False,
base_000198,train,train/base_000198.npz,368,False,
base_000199,train,train/base_000199.npz,150,False,
base_000200,train,train/base_000200.npz,182,False,
base_000201,train,train/base_000201.npz,150,False,
base_000202,train,train/base_000202.npz,366,False,
base_000203,train,train/base_000203.npz,173,False,
base_000204,train,train/base_000204.npz,368,False,
base_000205,train,train/base_000205.npz,60,False,
base_000206,train,train/base_000206.npz,109,False,
base_000207,train,train/base_000207.npz,63,False,
base_000208,train,train/base_000208.npz,116,False,
base_000209,train,train/base_000209.npz,320,False,
base_000210,train,train/base_000210.npz,262,False,
base_000211,train,train/base_000211.npz,471,False,
base_000212,train,train/base_000212.npz,216,False,
base_000213,train,train/base_000213.npz,183,False,
base_000214,train,train/base_000214.npz,118,False,
base_000215,train,train/base_000215.npz,60,False,
base_000216,train,train/base_000216.npz,149,False,
base_000217,train,train/base_000217.npz,91,False,
base_000218,train,train/base_000218.npz,138,False,
base_000219,train,train/base_000219.npz,120,False,
base_000220,train,train/base_000220.npz,421,False,
base_000221,train,train/base_000221.npz,367,False,
base_000222,train,train/base_000222.npz,304,False,
base_000223,train,train/base_000223.npz,490,False,
base_000224,train,train/base_000224.npz,116,False,
base_000225,train,train/base_000225.npz,45,False,
base_000226,train,train/base_000226.npz,63,False,
base_000227,train,train/base_000227.npz,138,False,
base_000228,train,train/base_000228.npz,63,False,
base_000229,train,train/base_000229.npz,320,False,
base_000230,train,train/base_000230.npz,121,False,
base_000231,train,train/base_000231.npz,41,False,
base_000232,train,train/base_000232.npz,91,False,
base_000233,train,train/base_000233.npz,85,False,
base_000234,train,train/base_000234.npz,216,False,
base_000235,train,train/base_000235.npz,116,False,
base_000236,train,train/base_000236.npz,359,False,
base_000237,train,train/base_000237.npz,304,False,
base_000238,train,train/base_000238.npz,62,False,
base_000239,train,train/base_000239.npz,261,False,
base_000240,train,train/base_000240.npz,366,False,
base_000241,train,train/base_000241.npz,85,False,
base_000242,train,train/base_000242.npz,116,False,
base_000243,train,train/base_000243.npz,276,False,
base_000244,train,train/base_000244.npz,45,False,
base_000245,train,train/base_000245.npz,421,False,
base_000246,train,train/base_000246.npz,160,False,
base_000247,train,train/base_000247.npz,45,False,
base_000248,train,train/base_000248.npz,255,False,
base_000249,train,train/base_000249.npz,175,False,
base_000250,train,train/base_000250.npz,85,False,
base_000251,train,train/base_000251.npz,182,False,
base_000252,train,train/base_000252.npz,276,False,
base_000253,train,train/base_000253.npz,85,False,
base_000254,train,train/base_000254.npz,216,False,
base_000255,train,train/base_000255.npz,255,False,
base_000256,train,train/base_000256.npz,85,False,
base_000257,train,train/base_000257.npz,416,False,
base_000258,train,train/base_000258.npz,59,False,
base_000259,train,train/base_000259.npz,182,False,
base_000260,train,train/base_000260.npz,276,False,
base_000261,train,train/base_000261.npz,158,False,
base_000262,train,train/base_000262.npz,63,False,
base_000263,train,train/base_000263.npz,85,False,
base_000264,train,train/base_000264.npz,121,False,
base_000265,train,train/base_000265.npz,261,False,
base_000266,train,train/base_000266.npz,432,False,
base_000267,train,train/base_000267.npz,85,False,
base_000268,train,train/base_000268.npz,45,False,
base_000269,train,train/base_000269.npz,63,False,
base_000270,train,train/base_000270.npz,276,False,
base_000271,train,train/base_000271.npz,490,False,
base_000272,train,train/base_000272.npz,41,False,
base_000273,train,train/base_000273.npz,64,False,
base_000274,train,train/base_000274.npz,182,False,
base_000275,train,train/base_000275.npz,59,False,
base_000276,train,train/base_000276.npz,45,False,
